Station,MAE,RMSE
Anzac,0.10382473116256676,0.1314310285616987
Edmonton East,0.37317155080445974,0.4493632905279806
Calgary Central-Inglewood,0.12673805365922994,0.19512731841038222
Janvier,0.39202605587385536,0.46279082881336253
