Train Loss,Validation Loss
0.0003346470890040159,0.017829327925843203
0.00015079365835335258,0.017733296249236783
0.00015044490901869429,0.017635481845926643
0.0001501994683431452,0.017536879178658774
0.00014989916702863034,0.017435567744878373
0.00014945147226798713,0.01732286179439579
0.00014887389288856153,0.017171091086505722
0.0001480163751334624,0.01694530712822829
0.00014664456131799236,0.016633393650072374
0.00014474890076188938,0.016250736460646863
0.00014260214792132908,0.015804389554258932
0.00014029270937400824,0.015278840375959205
0.0001378207213575862,0.014662971083516245
0.00013514337255407917,0.013995784706963667
0.00013246573877769168,0.013303218872388663
0.00012986233155304415,0.012591259719567061
0.000127375422893941,0.011890056613708894
0.00012512660610565355,0.011221135393487602
0.00012318464212679787,0.010642888588693554
0.00012160393394936119,0.010144586132494787
0.00012037225706853187,0.009759948637694487
0.00011941654530985373,0.009402578808313418
0.0001186146737391745,0.009154263404709411
0.0001179042105792419,0.008918171096458557
0.00011736671365168381,0.008762016100741687
0.00011690056059168582,0.008568072185859709
0.00011638450515357316,0.008440601820128868
0.0001160341442128598,0.00826506372968494
0.00011548839224824772,0.008158139202802986
0.00011523232293986246,0.007958312979172592
0.000114611107266433,0.007875283449589453
0.00011440595985741677,0.007636301265894893
0.00011367810177627174,0.007540520545730443
0.00011334752530154769,0.007293208342414306
0.0001126520461823535,0.00718295322852263
0.00011219859979987307,0.006919443763279749
0.00011127619161066226,0.006878070254013416
0.00011075396219671566,0.00706515829462418
0.00010952202342509616,0.009248184760887112
0.00010842231429016574,0.03905635598489767
0.00010638373066830556,0.15565040171169273
0.00013097321109104647,0.012459343332242802
0.00012506230110235077,0.010958925154022442
0.00011966951054357407,0.009728357182395769
0.00011531208502598649,0.008655548492726477
0.00011189157142071949,0.007813734763148483
0.00010952474969680707,0.007257250836455517
0.00010810349761517166,0.007003408771901892
0.00010731980299399876,0.007139228613753776
0.00010679067563827445,0.008096190238764477
0.00010625987621074074,0.012138153846924748
0.00010549064043760202,0.03477299746547858
0.00010416836371605683,0.1024272034386835
0.00011872598900068491,0.011439058178702013
0.00012053788983343507,0.009819587982983753
0.00011505428758826738,0.008650278857629208
0.00011110453887444708,0.007774676323795659
0.0001081366817076402,0.007214096106314289
0.0001060483598503574,0.007054454904396862
0.00010485732206889804,0.00739464651210492
0.00010412103711720543,0.008496281759197033
0.00010339373724245504,0.01213327443363102
0.00010255430786945811,0.027183251638881287
0.00010144240802098645,0.06505955556862465
0.00010464647815830531,0.009530525860468174
0.00011127044569919676,0.007894879623889557
0.00010564452274690285,0.007475362773352125
0.00010297510859146471,0.008317915238897623
0.00010197099663615564,0.011030777037040078
0.00010146485801971508,0.0192303944736917
0.00010086048140364279,0.04314898366947669
0.00010098372672932581,0.008088573113600643
0.00010513764745275565,0.02045143726234717
0.00010066481029825383,0.05983058672978386
0.00010510158277740378,0.009653662940395748
0.00011111721603680792,0.007902282255168768
0.00010526998773261002,0.0073920943235273266
0.00010242520061350742,0.008000960038581896
0.00010137591162770256,0.00984056090355334
0.00010092955636402757,0.014642149905271754
0.00010049905146358414,0.02734229194969874
0.00010018723751517389,0.01835103118973865
0.00010066640324373944,0.11159868829989956
0.0001623564208342439,0.011996410231609328
0.00012056024914361867,0.010597655497830512
0.00011581811263618408,0.009504398325999197
0.0001113698750806139,0.008450552522046007
0.00010715182002956693,0.00753385691925065
0.00010398035215405954,0.006978296415040517
0.00010219854606973278,0.006904770252079504
0.00010140327796831418,0.007305011245074838
0.00010103560629949078,0.008345043439770689
0.00010072040862995973,0.011146680302120546
0.0001003036926757565,0.018486602911930883
9.988978710700221e-05,0.023441343588621297
0.00010004514109888757,0.0143326449697848
0.00010052236317939819,0.09691461700188383
0.00015453389834488204,0.01196118356152626
0.00012020322123426271,0.010413254618932725
0.00011470658315564274,0.009166961169742435
